DateTime,adminuserservice_cpu,adminuserservice_mem,assuranceservice_cpu,assuranceservice_mem,contactsservice_cpu,contactsservice_mem,foodservice_cpu,foodservice_mem,orderservice_cpu,orderservice_mem,preserveservice_cpu,preserveservice_mem,travelservice_cpu,travelservice_mem,uidashboard_cpu,uidashboard_mem,userservice_cpu,userservice_mem
2022-06-01 18:15:12.727629,0.04,0.7,0.04,0.67,0.25,0.8,0.04,0.75,0.04,0.69,0.04,0.67,0.32,0.74,0.0,0.01,0.04,0.67
2022-06-01 18:15:17.727629,0.03,0.7,0.05,0.66,0.17,0.81,0.06,0.76,0.05,0.72,0.03,0.68,0.04,0.76,0.0,0.01,0.04,0.68
2022-06-01 18:15:22.727629,0.04,0.7,0.04,0.67,0.04,0.81,0.05,0.77,0.04,0.74,0.1,0.68,0.04,0.76,0.0,0.01,0.05,0.68
2022-06-01 18:15:27.727629,0.07,0.7,0.04,0.67,0.04,0.82,0.04,0.77,0.03,0.73,0.03,0.68,0.08,0.76,0.0,0.01,0.21,0.68
2022-06-01 18:15:32.727629,0.04,0.71,0.04,0.67,0.04,0.82,0.04,0.77,0.35,0.73,0.04,0.69,0.19,0.81,0.0,0.01,0.04,0.68
2022-06-01 18:15:37.727629,0.05,0.71,0.04,0.67,0.21,0.84,0.04,0.77,0.08,0.74,0.04,0.69,0.04,0.78,0.0,0.01,0.05,0.69
2022-06-01 18:15:42.727629,0.07,0.71,0.25,0.67,0.04,0.84,0.04,0.77,0.05,0.74,0.04,0.69,0.04,0.77,0.0,0.01,0.06,0.69
2022-06-01 18:15:47.727629,0.03,0.71,0.04,0.67,0.05,0.84,0.44,0.77,0.04,0.75,0.04,0.69,0.06,0.78,0.0,0.01,0.04,0.69
2022-06-01 18:15:52.727629,0.04,0.71,0.05,0.67,0.04,0.85,0.04,0.79,0.04,0.75,0.03,0.7,0.05,0.77,0.0,0.01,0.04,0.69
2022-06-01 18:15:57.727629,0.04,0.71,0.05,0.68,0.1,0.85,0.04,0.78,0.03,0.75,0.03,0.7,0.03,0.77,0.0,0.01,0.04,0.69
2022-06-01 18:16:02.727629,0.03,0.71,0.04,0.68,0.03,0.85,0.04,0.78,0.04,0.75,0.04,0.7,0.04,0.77,0.0,0.01,0.24,0.69
2022-06-01 18:16:07.727629,0.04,0.72,0.04,0.68,0.05,0.85,0.04,0.78,0.04,0.75,0.05,0.7,0.04,0.77,0.0,0.01,0.04,0.69
2022-06-01 18:16:12.727629,0.32,0.81,0.04,0.68,0.04,0.85,0.04,0.78,0.05,0.75,0.04,0.78,0.07,0.76,0.0,0.01,0.09,0.71
2022-06-01 18:16:17.727629,0.04,0.81,0.04,0.68,0.04,0.85,0.04,0.83,0.04,0.75,0.04,0.71,0.06,0.76,0.0,0.01,0.04,0.7
2022-06-01 18:16:22.727629,0.71,0.81,0.05,0.7,0.06,0.85,0.05,0.78,0.08,0.75,0.04,0.71,0.04,0.76,0.0,0.01,0.06,0.7
2022-06-01 18:16:27.727629,0.06,0.81,0.2,0.68,0.05,0.85,0.07,0.78,0.46,0.75,0.07,0.71,0.06,0.75,0.0,0.01,0.07,0.7
2022-06-01 18:16:32.727629,0.07,0.81,0.07,0.68,0.05,0.86,0.38,0.78,0.05,0.75,0.05,0.71,0.05,0.75,0.0,0.01,0.05,0.7
2022-06-01 18:16:37.727629,0.08,0.81,0.05,0.68,0.05,0.86,0.08,0.78,0.1,0.75,0.05,0.71,0.05,0.75,0.0,0.01,0.05,0.7
2022-06-01 18:16:42.727629,0.05,0.81,0.06,0.69,0.46,0.86,0.04,0.79,0.07,0.75,0.05,0.71,0.04,0.75,0.0,0.01,0.04,0.7
2022-06-01 18:16:47.727629,0.05,0.81,0.05,0.69,0.04,0.86,0.06,0.79,0.04,0.74,0.04,0.72,0.04,0.75,0.0,0.01,0.04,0.7
2022-06-01 18:16:52.727629,0.03,0.81,0.04,0.69,0.04,0.86,0.05,0.79,0.04,0.74,0.1,0.72,0.05,0.74,0.0,0.01,0.05,0.71
2022-06-01 18:16:57.727629,0.08,0.82,0.05,0.69,0.04,0.86,0.04,0.79,0.05,0.74,0.04,0.72,0.08,0.76,0.0,0.01,0.07,0.71
2022-06-01 18:17:02.727629,0.05,0.82,0.05,0.69,0.06,0.86,0.05,0.79,0.06,0.74,0.05,0.72,0.06,0.76,0.0,0.01,0.05,0.71
2022-06-01 18:17:07.727629,0.04,0.82,0.04,0.69,0.05,0.86,0.04,0.79,0.06,0.74,0.04,0.72,0.04,0.76,0.0,0.01,0.04,0.71
2022-06-01 18:17:12.727629,0.03,0.82,0.1,0.69,0.05,0.86,0.08,0.79,0.05,0.74,0.04,0.72,0.04,0.76,0.0,0.01,0.31,0.71
2022-06-01 18:17:17.727629,0.05,0.82,0.04,0.71,0.05,0.86,0.25,0.79,0.04,0.74,0.04,0.73,0.05,0.75,0.0,0.01,0.05,0.71
2022-06-01 18:17:22.727629,0.04,0.82,0.04,0.7,0.04,0.86,0.04,0.79,0.08,0.74,0.04,0.72,0.04,0.75,0.0,0.01,0.05,0.71
2022-06-01 18:17:27.727629,0.09,0.82,0.04,0.69,0.07,0.86,0.04,0.79,0.04,0.74,0.04,0.73,0.37,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:17:32.727629,0.03,0.82,0.08,0.69,0.19,0.86,0.05,0.79,0.05,0.74,0.05,0.73,0.04,0.75,0.0,0.01,0.05,0.71
2022-06-01 18:17:37.727629,0.06,0.82,0.04,0.69,0.04,0.86,0.08,0.79,0.03,0.75,0.12,0.73,0.04,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:17:42.727629,0.04,0.82,0.04,0.69,0.04,0.86,0.04,0.79,0.04,0.75,0.05,0.72,0.06,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:17:47.727629,0.04,0.82,0.04,0.69,0.04,0.86,0.04,0.79,0.07,0.74,0.04,0.72,0.04,0.75,0.0,0.01,0.08,0.71
2022-06-01 18:17:52.727629,0.04,0.82,0.03,0.69,0.04,0.86,0.04,0.79,0.03,0.75,0.04,0.72,0.05,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:17:57.727629,0.04,0.82,0.04,0.69,0.04,0.85,0.1,0.79,0.2,0.75,0.04,0.72,0.03,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:18:02.727629,0.04,0.82,0.22,0.69,0.04,0.85,0.08,0.79,0.05,0.75,0.03,0.72,0.05,0.75,0.0,0.01,0.05,0.71
2022-06-01 18:18:07.727629,0.05,0.82,0.04,0.69,0.04,0.85,0.04,0.79,0.04,0.75,0.04,0.72,0.04,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:18:12.727629,0.03,0.82,0.04,0.69,0.07,0.85,0.06,0.79,0.08,0.75,0.03,0.72,0.05,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:18:17.727629,0.03,0.82,0.05,0.69,0.06,0.85,0.04,0.79,0.05,0.75,0.07,0.72,0.05,0.75,0.0,0.01,0.05,0.71
2022-06-01 18:18:22.727629,0.04,0.82,0.04,0.69,0.03,0.85,0.04,0.78,0.07,0.75,0.04,0.72,0.04,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:18:27.727629,0.04,0.82,0.04,0.69,0.04,0.85,0.05,0.79,0.04,0.75,0.03,0.72,0.07,0.75,0.0,0.01,0.37,0.71
2022-06-01 18:18:32.727629,0.05,0.82,0.04,0.69,0.04,0.85,0.04,0.78,0.07,0.75,0.04,0.72,0.07,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:18:37.727629,0.05,0.82,0.04,0.69,0.06,0.85,0.04,0.78,0.04,0.76,0.03,0.72,0.04,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:18:42.727629,0.03,0.82,0.04,0.69,0.03,0.84,0.05,0.78,0.05,0.74,0.07,0.72,0.04,0.75,0.0,0.01,0.05,0.71
2022-06-01 18:18:47.727629,0.03,0.82,0.03,0.69,0.04,0.85,0.09,0.78,0.04,0.74,0.03,0.72,0.04,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:18:52.727629,0.03,0.82,0.04,0.69,0.04,0.85,0.04,0.78,0.03,0.74,0.06,0.72,0.04,0.75,0.0,0.01,0.06,0.71
2022-06-01 18:18:57.727629,0.03,0.82,0.04,0.69,0.07,0.85,0.03,0.78,0.04,0.74,0.03,0.72,0.05,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:19:02.727629,0.04,0.82,0.04,0.69,0.04,0.85,0.04,0.78,0.05,0.74,0.04,0.72,0.04,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:19:07.727629,0.06,0.82,0.04,0.69,0.04,0.85,0.04,0.78,0.05,0.74,0.04,0.72,0.04,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:19:12.727629,0.03,0.82,0.03,0.69,0.04,0.85,0.04,0.78,0.04,0.74,0.04,0.72,0.08,0.75,0.0,0.01,0.08,0.71
2022-06-01 18:19:17.727629,0.03,0.82,0.04,0.69,0.04,0.85,0.03,0.78,0.07,0.74,0.04,0.72,0.04,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:19:22.727629,0.04,0.82,0.04,0.69,0.03,0.85,0.04,0.78,0.07,0.74,0.06,0.72,0.04,0.75,0.0,0.01,0.03,0.71
2022-06-01 18:19:27.727629,0.04,0.82,0.23,0.69,0.03,0.85,0.04,0.78,0.05,0.74,0.03,0.72,0.04,0.75,0.0,0.01,0.05,0.71
2022-06-01 18:19:32.727629,0.03,0.82,0.04,0.69,0.04,0.85,0.05,0.77,0.04,0.74,0.03,0.72,0.04,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:19:37.727629,0.05,0.82,0.03,0.69,0.08,0.85,0.06,0.77,0.04,0.74,0.03,0.72,0.04,0.75,0.0,0.01,0.06,0.71
2022-06-01 18:19:42.727629,0.03,0.82,0.05,0.69,0.05,0.84,0.04,0.77,0.07,0.74,0.04,0.72,0.04,0.75,0.0,0.01,0.04,0.71
2022-06-01 18:19:47.727629,0.05,0.82,0.05,0.69,0.04,0.84,0.08,0.77,0.04,0.74,0.05,0.72,0.05,0.75,0.0,0.01,0.05,0.71
2022-06-01 18:19:52.727629,0.04,0.82,0.05,0.69,0.06,0.84,0.04,0.78,0.09,0.74,0.05,0.72,0.04,0.75,0.0,0.01,0.05,0.71
2022-06-01 18:19:57.727629,0.07,0.82,0.04,0.69,0.05,0.84,0.04,0.78,0.03,0.74,0.04,0.72,0.07,0.75,0.0,0.01,0.1,0.71
2022-06-01 18:20:02.727629,0.03,0.82,0.04,0.69,0.04,0.84,0.05,0.78,0.1,0.74,0.07,0.72,0.06,0.75,0.0,0.01,0.05,0.71
2022-06-01 18:20:07.727629,4.12,0.86,0.05,0.69,0.04,0.84,0.04,0.78,0.07,0.74,0.05,0.72,0.05,0.86,0.0,0.01,0.05,0.73
2022-06-01 18:20:12.727629,0.08,0.85,0.4,0.69,0.06,0.84,0.06,0.78,0.06,0.75,0.06,0.72,0.12,0.86,0.0,0.01,0.12,0.75
2022-06-01 18:20:17.727629,0.05,0.86,0.32,0.69,0.05,0.84,0.09,0.78,0.07,0.76,0.05,0.72,0.05,0.88,0.0,0.01,0.06,0.75
2022-06-01 18:20:22.727629,0.04,0.86,0.05,0.69,0.04,0.84,0.26,0.77,0.04,0.78,0.04,0.72,0.04,0.9,0.0,0.01,0.05,0.74
2022-06-01 18:20:27.727629,0.05,0.86,0.05,0.69,0.05,0.84,0.05,0.77,0.05,0.78,0.04,0.72,0.05,0.91,0.0,0.01,0.05,0.74
2022-06-01 18:20:32.727629,0.04,0.86,0.05,0.69,0.07,0.84,0.04,0.77,0.08,0.79,0.04,0.72,0.05,0.94,0.0,0.01,0.05,0.74
2022-06-01 18:20:37.727629,0.06,0.86,0.05,0.69,0.05,0.84,0.04,0.77,0.04,0.79,0.04,0.72,0.06,0.94,0.0,0.01,0.04,0.74
2022-06-01 18:20:42.727629,0.05,0.86,0.04,0.69,0.04,0.84,0.07,0.77,0.04,0.79,0.04,0.72,0.04,0.94,0.0,0.01,0.08,0.74
2022-06-01 18:20:47.727629,0.04,0.86,0.05,0.71,0.05,0.84,0.05,0.77,0.04,0.79,0.04,0.72,0.07,0.94,0.0,0.01,0.18,0.74
2022-06-01 18:20:52.727629,0.05,0.86,0.05,0.71,0.04,0.84,0.04,0.79,0.04,0.78,0.04,0.72,0.05,0.93,0.0,0.01,0.04,0.74
2022-06-01 18:20:57.727629,0.05,0.86,0.04,0.71,0.04,0.84,0.04,0.79,0.29,0.78,0.04,0.72,0.04,0.92,0.0,0.01,0.04,0.74
2022-06-01 18:21:02.727629,0.04,0.86,0.5,0.71,0.04,0.84,0.04,0.79,0.07,0.78,0.04,0.72,0.04,0.92,0.0,0.01,0.06,0.74
2022-06-01 18:21:07.727629,0.1,0.86,0.04,0.71,0.04,0.84,0.12,0.79,0.04,0.78,0.06,0.72,0.05,0.91,0.0,0.01,0.05,0.74
2022-06-01 18:21:12.727629,0.05,0.86,0.04,0.71,0.05,0.84,0.04,0.79,0.04,0.78,0.03,0.72,0.08,0.9,0.0,0.01,0.04,0.74
2022-06-01 18:21:17.727629,0.04,0.85,0.06,0.71,0.05,0.84,0.05,0.79,0.04,0.78,0.05,0.72,0.04,0.9,0.0,0.01,0.05,0.74
2022-06-01 18:21:22.727629,0.11,0.85,0.06,0.71,0.06,0.84,0.06,0.79,0.06,0.77,0.06,0.75,0.05,0.89,0.0,0.01,0.06,0.74
2022-06-01 18:21:27.727629,0.09,0.85,0.05,0.71,0.04,0.84,0.04,0.78,0.1,0.78,0.05,0.74,0.06,0.9,0.0,0.01,0.05,0.74
2022-06-01 18:21:32.727629,0.07,0.85,0.05,0.71,0.05,0.84,0.06,0.78,0.06,0.78,0.05,0.74,0.05,0.9,0.0,0.01,0.08,0.74
2022-06-01 18:21:37.727629,0.04,0.85,0.04,0.71,0.05,0.84,0.22,0.78,0.04,0.77,0.04,0.74,0.05,0.89,0.0,0.01,0.06,0.74
2022-06-01 18:21:42.727629,0.05,0.85,0.06,0.71,0.04,0.84,0.05,0.78,0.12,0.77,0.07,0.74,0.04,0.89,0.0,0.01,0.05,0.74
2022-06-01 18:21:47.727629,0.07,0.85,0.1,0.71,0.06,0.84,0.09,0.78,0.07,0.77,0.06,0.74,0.06,0.89,0.0,0.01,0.08,0.74
2022-06-01 18:21:52.727629,0.04,0.85,0.04,0.71,0.04,0.84,0.05,0.78,0.23,0.77,0.06,0.74,0.04,0.89,0.0,0.01,0.05,0.74
2022-06-01 18:21:57.727629,0.04,0.85,0.04,0.71,0.06,0.84,0.06,0.78,0.09,0.77,0.03,0.74,0.06,0.89,0.0,0.01,0.03,0.74
2022-06-01 18:22:02.727629,0.04,0.85,0.05,0.71,0.05,0.87,0.04,0.78,0.04,0.77,0.08,0.74,0.05,0.89,0.0,0.01,0.05,0.74
2022-06-01 18:22:07.727629,0.04,0.85,0.05,0.71,0.04,0.87,0.04,0.78,0.05,0.77,0.04,0.75,0.06,0.89,0.0,0.01,0.05,0.75
2022-06-01 18:22:12.727629,0.06,0.85,0.08,0.71,0.07,0.87,0.09,0.78,0.09,0.77,0.07,0.75,0.08,0.89,0.0,0.01,0.07,0.75
2022-06-01 18:22:17.727629,0.05,0.85,0.05,0.71,0.04,0.87,0.03,0.78,0.04,0.77,0.03,0.75,0.04,0.89,0.0,0.01,0.09,0.75
2022-06-01 18:22:22.727629,0.05,0.85,0.04,0.71,0.03,0.87,0.04,0.78,0.13,0.77,0.04,0.75,0.06,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:22:27.727629,0.07,0.85,0.06,0.71,0.06,0.87,0.08,0.78,0.09,0.76,0.05,0.75,0.06,0.89,0.0,0.01,0.07,0.75
2022-06-01 18:22:32.727629,0.05,0.85,0.11,0.71,0.04,0.87,0.17,0.78,0.06,0.76,0.07,0.75,0.03,0.89,0.0,0.01,0.05,0.75
2022-06-01 18:22:37.727629,0.06,0.85,0.08,0.71,0.06,0.87,0.14,0.78,0.09,0.76,0.06,0.75,0.05,0.89,0.0,0.01,0.07,0.75
2022-06-01 18:22:42.727629,0.03,0.85,0.04,0.71,0.05,0.87,0.04,0.78,0.04,0.76,0.03,0.75,0.04,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:22:47.727629,0.07,0.85,0.05,0.71,0.04,0.87,0.06,0.78,0.04,0.76,0.04,0.75,0.04,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:22:52.727629,0.03,0.85,0.03,0.71,0.06,0.86,0.04,0.78,0.04,0.76,0.06,0.75,0.04,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:22:57.727629,0.04,0.85,0.04,0.71,0.04,0.86,0.04,0.78,0.09,0.76,0.16,0.75,0.07,0.89,0.0,0.01,0.05,0.75
2022-06-01 18:23:02.727629,0.06,0.85,0.05,0.71,0.04,0.86,0.03,0.78,0.05,0.76,0.05,0.75,0.08,0.89,0.0,0.01,0.06,0.75
2022-06-01 18:23:07.727629,0.03,0.85,0.04,0.71,0.03,0.86,0.07,0.77,0.03,0.76,0.05,0.75,0.05,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:23:12.727629,0.07,0.85,0.04,0.71,0.05,0.86,0.03,0.77,0.58,0.76,0.03,0.75,0.04,0.9,0.0,0.01,0.04,0.75
2022-06-01 18:23:17.727629,0.04,0.85,0.07,0.71,0.03,0.86,0.62,0.77,0.03,0.76,0.02,0.75,0.03,0.89,0.0,0.01,0.05,0.75
2022-06-01 18:23:22.727629,0.03,0.85,0.04,0.71,0.04,0.86,0.03,0.77,0.03,0.76,0.04,0.75,0.03,0.89,0.0,0.01,0.03,0.75
2022-06-01 18:23:27.727629,0.07,0.85,0.04,0.71,0.54,0.86,0.04,0.77,0.06,0.76,0.07,0.75,0.04,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:23:32.727629,0.03,0.85,0.05,0.71,0.04,0.86,0.03,0.77,0.03,0.76,0.03,0.76,0.04,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:23:37.727629,0.03,0.85,0.09,0.71,0.04,0.86,0.03,0.77,0.04,0.76,0.08,0.75,0.04,0.9,0.0,0.01,0.04,0.75
2022-06-01 18:23:42.727629,0.05,0.85,0.03,0.71,0.05,0.86,0.03,0.77,0.04,0.76,0.03,0.75,0.06,0.89,0.0,0.01,0.08,0.75
2022-06-01 18:23:47.727629,0.04,0.85,0.04,0.71,0.04,0.86,0.04,0.77,0.04,0.76,0.03,0.75,0.05,0.89,0.0,0.01,0.06,0.75
2022-06-01 18:23:52.727629,0.04,0.85,0.04,0.71,0.04,0.86,0.07,0.77,0.1,0.76,0.04,0.75,0.04,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:23:57.727629,0.05,0.85,0.36,0.71,0.05,0.86,0.06,0.77,0.07,0.76,0.05,0.75,0.05,0.89,0.0,0.01,0.06,0.75
2022-06-01 18:24:02.727629,0.05,0.85,0.03,0.71,0.03,0.86,0.08,0.77,0.04,0.76,0.03,0.75,0.03,0.89,0.0,0.01,0.05,0.75
2022-06-01 18:24:07.727629,0.03,0.85,0.04,0.71,0.05,0.86,0.03,0.76,0.06,0.76,0.03,0.75,0.04,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:24:12.727629,0.03,0.86,0.05,0.71,0.07,0.86,0.07,0.76,0.04,0.76,0.06,0.75,0.04,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:24:17.727629,0.03,0.86,0.04,0.71,0.04,0.86,0.04,0.76,0.05,0.76,0.03,0.76,0.04,0.9,0.0,0.01,0.04,0.75
2022-06-01 18:24:22.727629,0.11,0.86,0.04,0.71,0.04,0.86,0.04,0.76,0.04,0.76,0.08,0.76,0.07,0.9,0.0,0.01,0.05,0.75
2022-06-01 18:24:27.727629,0.03,0.86,0.04,0.71,0.04,0.85,0.08,0.76,0.04,0.76,0.04,0.75,0.04,0.89,0.0,0.01,0.07,0.75
2022-06-01 18:24:32.727629,0.08,0.86,0.07,0.71,0.05,0.85,0.05,0.76,0.08,0.76,0.09,0.75,0.05,0.89,0.0,0.01,0.05,0.75
2022-06-01 18:24:37.727629,0.05,0.86,0.08,0.71,0.04,0.85,0.04,0.76,0.08,0.75,0.04,0.75,0.04,0.89,0.0,0.01,0.04,0.75
2022-06-01 18:24:42.727629,0.05,0.86,0.04,0.71,0.04,0.85,0.09,0.76,0.06,0.75,0.04,0.75,0.04,0.89,0.0,0.01,0.06,0.75
2022-06-01 18:24:47.727629,0.03,0.86,0.05,0.71,0.04,0.85,0.04,0.76,0.03,0.75,0.05,0.76,0.05,0.89,0.0,0.01,0.04,0.76
2022-06-01 18:24:52.727629,0.04,0.86,0.04,0.71,0.07,0.85,0.04,0.76,0.09,0.75,0.08,0.75,0.04,0.9,0.0,0.01,0.04,0.76
2022-06-01 18:24:57.727629,0.03,0.86,0.04,0.71,0.05,0.85,0.04,0.76,0.03,0.75,0.04,0.75,0.05,0.9,0.0,0.01,0.04,0.76
2022-06-01 18:25:02.727629,0.04,0.86,0.04,0.71,0.04,0.85,0.06,0.76,0.09,0.75,0.06,0.75,0.04,0.9,0.0,0.01,0.04,0.76
